Iteration,Pancake Values,Syrup Values,PancakeAndSyrup Values
239,2,-1182188427,-85024763
240,10,-2015256133,276525452
241,10,1856187313,2052806784
242,10,-425153674,387762368
243,10,1927086846,-1309141782
244,5,591044214,1173880300
245,7,1536543797,-699304835
246,7,2076529445,-586080037
247,9,-27529990,137904039
248,7,-1553477521,-175745620
249,7,827402221,712732034
250,2,-1288020039,937663139
251,10,-836382119,2098459977
252,3,1520539625,1817118787
253,6,871349307,1342876063
254,2,-2127560207,-1725736185
255,8,-576177932,-1406884168
256,6,1122981998,2142366183
257,11,-850563260,-1105322714
258,3,158708244,5941034
259,4,-294941328,-1807708037
260,11,-1687968924,-830972780
261,4,1146243315,39850147
262,2,1789417774,-262574873
263,11,-119876540,-902834938
264,2,807239095,-264938410
265,3,-2146885457,982795163
266,6,-1625059612,-351817565
267,10,417043047,-1473311246
268,11,-1795952524,-1769429582
269,6,597904317,2074371771
270,7,1832045815,-216464004
271,2,568565694,-643012772
272,8,-1124358289,-150266209
273,6,-220256542,-1844457304
274,1,61545076,-994463247
275,8,-1963029736,-213333332
276,5,-746496146,-1676344105
277,6,-1568072715,1453457932
278,6,1138745896,672794442
279,6,1137465158,1468427978
280,6,914634376,-1766648147
281,4,595914568,1015049007
282,2,1277765933,-589247786
283,10,-632738107,657026032
284,1,748422813,-106794867
285,10,-1851387099,1153884460
286,6,1233743196,771863360
287,8,162988835,-1358955003
288,9,1262975485,656368292
289,10,-1411503782,-76642920
290,9,1261053160,81150416
291,10,1643882732,-1125886229
292,7,-733101058,-1937064256
293,5,1800793586,505199954
294,5,-800206108,618890261
295,3,-1254411817,-493057756
296,3,-1134416594,-1998255662
297,11,1397110586,1105497617
298,11,-740996320,-1488340139
299,4,-1476473992,-1504396093
300,11,1074804890,-1740700876
301,1,-467117847,419717494
302,3,1568336407,71777405
303,7,-160739974,-1727776490
304,3,1465570503,-37399312
305,2,627183136,689845600
306,5,-792524888,1751991898
307,8,169322269,498810518
308,5,-1212584478,2116140490
309,5,445116360,225325605
310,11,-432656979,-1369625876
311,10,1291807174,-532411533
312,7,-527256644,67513672
313,4,-1798994648,-1616784245
314,9,-1675137069,427721568
315,11,1245846596,-75037781
316,9,1298730691,1960913634
317,2,-1622009020,826375273
318,6,1913417233,76896388
319,4,443394579,-233940437
320,11,-2082986273,597343349
321,3,356659657,-219705875
322,8,-1005617225,-1108287048
323,11,802924110,-1777441393
324,6,-145242058,-98093409
325,2,-1683701618,1019225594
326,1,-535649174,147001353
327,2,1518761343,-652241596
328,5,-1948168949,1049582901
329,11,-810734884,5073555
330,2,1523401967,-1155740587
331,1,606496309,-1308598734
332,8,1593077356,1210735004
333,6,322965617,1808507526
334,10,-1972694728,332699920
335,2,489584357,2054089997
336,7,-831177393,-121787240
337,6,-1411098674,-1068011214
338,11,-1156617443,-171674322
339,7,-249053350,190728121
340,4,-1692673897,-209490336
341,6,-720342599,-983102197
342,10,-923705682,-1065652735
343,6,-774671077,-310869928
344,9,-1041510058,-1229644988
345,6,-1464036417,534435114
346,6,-549305378,1025656194
347,10,-154329054,-260294555
348,2,-576281040,1469278508
349,1,-1563500377,1235942310
350,10,2631069,-1062570781
351,7,-1125544211,-263267577
352,6,508686755,998115896
353,6,1829286145,1992474087
354,8,-1741924297,-1224289211
355,6,1717818294,1061930126
356,11,1074388335,-667138660
357,2,-17317503,1006629013
358,2,588695492,606346920
359,11,1519101613,-846470973
360,10,167903351,1711968249
361,9,-754917552,206068236
362,1,506785841,-1911154219
363,2,-2016601786,1905803476
364,4,-1648743621,90726954
365,9,864352744,-390846377
366,9,-522509248,-867777543
367,5,-1113057793,-1075061965
368,10,1470466473,-971010231
369,6,786342258,-335679995
370,9,610589129,-795085379
371,8,814445088,230343417
372,6,-147108351,1943843194
373,10,1621228601,-1972205649
374,10,-1218532912,745526601
375,11,-1510582653,-2065960117
376,3,-2022970630,-2132003889
377,6,-1749017658,1895672882
378,6,-413878394,-287989411
379,6,891606555,1697127108
380,10,1008343314,57079873
381,8,-1162580178,-186077081
382,11,-1819993788,848983149
383,6,1239343906,530756267
384,8,-1935947003,487237258
385,11,2017826134,-822584231
386,6,-1491036712,2032590981
387,8,243110023,-26006010
388,4,1823210754,2006559991
389,6,1249614425,-1118158167
390,6,-2054041883,1843747272
391,3,908695814,-1524553014
392,8,-1327520904,1326099304
393,9,1832320939,-1332932432
394,1,-124844842,-1042951159
395,1,-1907894253,2087101343
396,1,-787986207,1138176289
397,9,-1226358523,328346752
398,6,878746513,-780025837
399,6,-1587389493,-61066936
400,10,-938697321,1117173136
401,5,-614555979,220182272
402,9,1286314745,-379410528
403,9,-509674221,-2095629041
404,8,1234315965,-1045127542
405,4,1413434608,299744592
406,6,-1063566456,83631320
407,8,1740441266,-1384552432
408,5,309796783,-157599780
409,10,132128297,1025005480
410,10,-480193331,553607683
411,5,-61512105,1805566128
412,3,-1558564722,1574062398
413,6,-2026690385,-729446545
414,6,1671831042,-2123011627
415,4,478527299,-957070099
416,10,1918463429,-2024909839
417,4,-548079668,1699827529
418,6,-1793808491,-699757503
419,8,-277442431,-405027888
420,10,1572524120,1911199799
421,6,-1065866454,-567828820
422,6,-1447046477,959647849
423,10,-963825561,1215008792
424,8,1672677738,-1546084086
425,7,728815255,1267966471
426,11,-908229219,2109993030
427,6,219700837,-100761195
428,7,401384606,-756704436
429,6,-410805755,-134532856
430,7,-1389393699,-111058233
431,1,-526249741,1159652012
432,5,1063453602,519750104
433,10,-1526819325,-591053957
434,9,1513250004,1159620005
435,4,-1255999644,663427067
436,7,751070670,1717285838
437,2,841670561,-235170698
438,6,917988877,1148409928
439,8,776263528,1726202210
440,4,100175627,67220762
441,7,16397756,16736477
442,3,1914541253,1536667902
443,9,-194394057,-1545285751
444,10,1781567454,669143591
445,4,1359704281,1336049429
446,3,1196899129,2118115177
447,6,1613093480,367915661
448,10,2036031927,1362094384
449,6,-1350789359,-89469082
450,11,1466700036,-1664832276
451,5,551324062,-894838147
452,8,-1365599824,442187252
453,6,-1093020998,-20027513
454,11,922570725,-1838871842
455,8,-1962410695,-2063333902
456,4,298296199,1898745234
457,6,-1504222276,-332913451
458,6,1109653142,-1403265450
459,4,-1503446575,738316283
460,7,-343962195,311591287
461,5,363270096,877579243
462,4,-873808477,830796578
463,5,-1523097242,1321760394
464,6,1471583709,1816341096
465,5,-1475054799,841541784
466,7,352011061,-708459371
467,5,-1967991561,-2134952073
468,7,1454492310,413867296
469,7,1067088554,1861360940
470,8,-645200798,-1844738672
471,1,1352459762,-1425260633
472,2,1313880785,45705853
473,11,1818023022,18953694
474,9,356699033,-1503319291
475,9,1840425767,1877192549
476,1,-971807340,-325772962
477,1,-998839720,2088637485
478,6,225871294,-1259544213
479,2,-1124245755,1962495122
480,3,1513146568,-926004465
481,9,-1049305262,642477208
482,3,2041697654,-603495787
483,5,1908983674,1388043821
484,6,1600728479,-420448982
485,8,665308465,1436118506
486,6,-1266661251,869769446
487,4,-126301670,701416993
488,6,-688147701,376087141
489,6,-1038514082,1435441284
490,10,-488446005,-721737169
491,2,-1748517111,-1133127352
492,4,41576201,877861583
493,8,2136316985,1259240035
494,1,1406222101,1301898837
495,4,1280107653,2034972649
496,5,726049243,-97861054
497,6,160862748,-1811284740
498,2,-1334584717,-490691165
499,10,-1030790746,-1560215294
500,8,887756786,-920225200
501,8,-1888348298,1007584456
502,5,1378379421,-306255242
503,6,520599429,2044596094
504,3,-384787987,-2072590727
505,6,215617992,2072693365
506,7,-2009186403,-1185186475
507,7,952478828,1071502998
508,6,-1618305657,429900719
509,6,135249120,-1439321921
510,7,-1608236468,-1857389365
511,4,2062028178,523726946
512,4,-574454034,-1996503230
513,1,-1989853517,-229944893
514,11,245944868,249831371
515,11,308434235,1926683396
516,5,-1374452161,-1589827217
517,8,265136378,490923914
518,9,6658223,130273800
519,8,1713111395,-460366517
520,6,2007886226,1957369977
521,1,374720989,1746512351
522,8,1181363243,-377064893
523,3,1564165796,1344206638
524,3,-1305140361,1537395529
525,6,1310354805,-1972270700
526,2,936609845,1575633394
527,8,1864282976,736299982
528,10,160064995,-559160166
529,8,-1309629970,-2056889828
530,9,476883198,1336946472
531,6,1668844635,-160951877
532,10,1220934435,1762480071
533,11,-2126804072,1860967434
534,8,544104948,-1589792738
535,5,-2020051599,648956299
536,8,59126354,1734924323
537,6,1647157578,1325029103
538,7,2124071661,-1642087644
539,11,1931879099,-1027770868
540,10,-951239929,1188141873
541,10,-508897483,-1411748224
542,11,1577078106,68604828
543,6,-1029957113,1054530137
544,6,-481277537,352827790
545,7,2049524896,-770180875
546,6,-1461883672,828878150
547,6,-2144876621,700482365
548,4,311046704,-1025586182
549,11,711439276,-1708161255
550,8,1164807104,1356985902
551,6,1088420804,1026032701
552,3,495283050,-1267505539
553,3,788711311,1579692541
554,7,-69335249,1555534741
555,5,195482244,-226589014
556,6,1968328858,1925323859
557,5,-537347308,-178211797
558,1,-295868896,1405274135
559,10,1492170092,-732014339
560,4,497022333,281618222
561,1,-314534416,1037426086
562,10,285337445,1862701167
563,8,-1745225551,1527390393
564,7,-790444264,1379931129
565,10,1331286238,934241755
566,7,1856057176,-1225724167
567,3,510407134,904864018
568,6,-744650170,170194852
569,5,1041757286,-895388037
570,6,-1988301207,-1184116680
571,7,721115621,-847446550
572,6,681162495,179539013
573,1,1303754843,954638884
574,7,-514917305,-1091919738
575,6,108164688,1701184422
576,1,-1496733318,388992174
577,2,1257092698,771197151
578,2,646296110,36770725
579,7,1251398872,-672751079
580,3,-1195870323,-1039386521
581,9,-1139247023,153403155
582,3,937442382,-404961854
583,3,-2037727925,902646875
584,10,-348169069,953571647
585,3,-539254741,-1267767470
586,10,-550791128,-1762790797
587,9,-1937864306,-181951461
588,6,-2097067349,871335556
589,5,-912338354,434147111
590,10,-2029241403,1755044914
591,10,-2010127431,-373371717
592,1,1713107858,708534918
593,3,294807989,-1367560813
594,9,1287537767,19443193
595,5,1289038733,766901852
596,1,-909758251,783420878
597,11,1259272953,-590652156
598,7,-435740561,1666445714
599,2,-964375118,218491747
600,7,-797213369,1145938742
601,3,-1386086698,873669411
602,1,-662470360,2052108396
603,6,1800230918,1547744691
604,3,-1397835493,-1453543502
605,1,966251847,-1742434341
606,2,-281423251,-1440561805
607,2,2035303719,-1135804094
608,5,1946978136,920174340
609,6,775666244,1536124730
610,4,-1161784227,-566964327
611,1,-2062109979,1356562489
612,7,406263080,-253278788
613,4,-39669164,-2010090759
614,9,1629669183,-1953155152
615,5,-2116882802,-1910034024
616,11,1699899962,-1780079595
617,4,-1386215281,948840818
618,10,483544646,1562282350
619,10,860133043,-104279604
620,11,125239467,317413777
621,5,-677594335,-1151900292
622,3,-166738572,-350956967
623,8,-1542631354,1807105051
624,9,-1553056279,715229560
625,2,762487679,-1991927436
626,10,-33035699,590374429
627,7,1163842075,-1497429570
628,9,-1374028942,1812244406
629,5,-855271029,-2123780783
630,3,-927115115,1501446503
631,7,1318434792,-614177977
632,6,1840047589,194936826
633,3,1060073148,-941176192
634,9,115135014,1175301675
635,11,1458037754,1074318005
636,2,1360060756,-1482958519
637,8,-1940028108,1619571669
638,2,-307584655,307117867
639,2,-963823144,144600826
640,3,-763599050,-1524766250
641,3,444963469,529068793
642,8,1874685831,-41485665
643,1,-1462041755,-641936914
644,11,-1737080582,572135809
645,6,-1268173060,1951236078
646,3,-538328479,-190226735
647,7,1233428890,-1200435582
648,6,-1271831655,1594286095
649,8,736578685,1413354964
650,11,-536146757,1933376607
651,10,-408068726,-978291690
652,6,-832743221,1064430844
653,1,437134157,773797590
654,7,-630361199,1535178923
655,8,252273115,932063674
656,3,127156904,1067559442
657,10,1466627649,-369342980
658,10,682797916,1625854639
659,8,-926082011,995099322
660,9,1701910265,1223283509
661,6,-813694896,-1579092180
662,6,-543804007,-664734105
663,5,-1509008110,1829687831
664,5,-692681186,477823064
665,6,-734489644,-982979412
666,8,1271741164,1877739503
667,10,-312845584,-1280206821
668,7,1715720255,394784448
669,1,-1781827550,1750748820
670,5,-614529060,1407324860
671,1,-2095774816,1264560231
672,6,117802429,-1357671533
673,8,-572099492,-1312636891
674,4,-1622355301,2087316252
675,7,-551754082,1274808405
676,6,1820051952,-2003836637
677,10,-249775966,-1309357248
678,6,1610141270,-699258628
679,7,2006780818,-1904049709
680,2,1457179374,-63191705
681,3,-105796761,-415694865
682,11,1171496382,1118858824
683,10,-1631844850,-812316444
684,3,-891910545,-1586581563
685,2,1995206820,-204246900
686,2,1543478487,-1181098797
687,10,-1554059968,-1914555665
688,2,-266986106,2056060021
689,5,-495298760,-1685737369
690,6,611529859,-458539786
691,6,1238967384,-1177022575
692,1,892235637,1993655426
693,10,-534456044,-1417258088
694,2,-2093560510,-200749426
695,6,966902426,-803922812
696,6,1039808286,1446446458
697,2,947789688,639717486
698,11,1887889424,-1409916537
699,1,-1996432958,-1609284376
700,7,-2096492065,-1350147518
701,6,-1648738693,1225207877
702,10,606005805,454239462
703,8,1373190718,987240786
704,7,1534222408,943019290
705,10,898107534,403479754
706,9,2014436375,-192084712
707,11,1947091591,579270826
708,8,-78448208,2041135627
709,9,132170894,258014729
710,10,-1758427570,383342016
711,1,-1764109519,-1264969424
712,2,-1654432286,-886821106
713,11,1302143600,-1785376062
714,4,-435735187,1502355434
715,5,879149040,-741632981
716,5,-294697799,1940606389
717,7,2066619829,1915656555
718,11,332665634,637210103
719,4,-451604893,935358286
720,3,426123203,-372224737
721,6,577504989,72268771
722,1,-1428604756,1041814815
723,4,1494203659,1474683701
724,2,1972384213,1332112331
725,6,-1983835351,-1634266006
726,11,-789744392,210355992
727,7,-1006686321,-433483446
728,1,126091091,-1312722391
729,9,-2130460899,-1687592414
730,5,-1184957513,-2123472269
731,8,1400397666,990691539
732,6,1593526544,1671318551
733,6,-1196134248,1034830208
734,4,-1584324410,-455933170
735,5,-920180088,531090275
736,3,871064197,138868995
737,9,410210472,-501941347
738,7,-557092737,-1913262584
739,4,1513441586,774030417
740,2,-215445427,-880260584
741,4,-192184642,1281882878
742,9,-567761437,-2108028304
743,3,1379041776,-701091392
744,6,219148315,-1847036658
745,1,1905750920,137825179
746,10,-517883866,-83067746
747,1,1673761567,1282600275
748,8,-1189138867,1554059610
749,4,-531025659,584808854
750,9,454992263,-1143263437
751,2,1699135884,960084660
752,2,1863467635,66429035
753,5,-197778122,1875611067
754,7,1492582909,-1353508839
755,3,-1575558674,166252140
756,10,359928588,779607123
757,9,953950420,-1721067358
758,5,-1523808507,-106502490
759,6,-576067686,1328025251
760,9,762657163,-1149759829
761,10,856727141,1279849410
762,2,345707671,148915513
763,4,-2053033176,-425584389
764,10,-1779572756,2095559560
765,7,-166077741,-1253264532
766,9,927255483,364852391
767,1,1537215369,1547072169
768,7,1257685881,683795455
769,4,-459006532,1589100627
770,1,254177768,1656634042
771,6,916943032,1586353336
772,6,-1697555101,893556827
773,4,-490686484,-314883603
774,10,1574370985,1852513070
775,7,-972134980,-385170807
776,8,-596608889,1064816381
777,8,-1621350162,1399725812
778,1,-487796533,-2021460517
779,1,-1670265155,301611640
780,4,-782537221,-1517587133
781,2,1667276263,695092529
782,8,-1821118711,2000107627
783,8,2105637810,915022478
784,11,-1371748028,-2031130404
785,11,1684567147,-1116783794
786,11,-1921451608,-434109312
787,6,-589796136,857059520
788,1,1700785402,-2084070048
789,11,1334225471,-120791308
790,5,-1712292266,-1371767858
791,9,1877002948,761220354
792,6,-811528922,1576574012
793,3,1915016021,991438930
794,6,-1029415381,-1648857638
795,9,338661186,317457938
796,9,216894535,303625659
797,7,1294751233,1221408562
798,8,605006176,-1373808199
799,8,-2000387666,-2089467972
800,4,-110194575,1087795420
801,6,-373392408,733153163
802,8,-1689737278,463051830
803,3,136014925,377146088
804,7,-1390843086,197438073
805,10,184484962,-638401787
806,6,750953113,688930778
807,2,-952648364,-2125225119
808,3,-308474943,-1552929632
809,4,-982563693,1937891635
810,1,1409618464,-1362480071
811,8,980182597,1433152321
812,4,-1065187234,261378325
813,6,-1346089073,-1673172218
814,4,843805838,264877383
815,10,1913727408,1173158010
816,6,-1368522649,-681093664
817,5,-1358195617,1414646457
818,10,1464118814,2033019726
819,4,-104358593,2033049951
820,9,108679717,-425035029
821,8,-1711064044,-913178444
822,7,669243627,-638268385
823,1,740382961,-745682359
824,7,-987799819,289566776
825,2,1321056181,-1110890244
826,5,1404016527,-1514967903
827,11,-1024851521,-885920842
828,5,91848410,237831413
829,2,293009043,98144310
830,6,931717295,347122127
831,8,1222757085,-996630746
832,1,1121735220,591495461
833,9,-985016877,140312250
834,5,2068636682,358396304
835,1,-1246699415,-2078784542
836,10,-276146366,-1459157228
837,3,-2121548269,-1514347377
838,1,-150078579,1708601368
839,6,1660564140,1412890239
840,4,-1709611411,-612687066
841,2,-2135175779,-719690997
842,1,86126539,-1102738681
843,7,1379942541,664183279
844,5,1350227435,-2121550181
845,6,2026962227,-1166851050
846,9,357003228,-1591931556
847,5,2132334507,-857478624
848,6,638953266,-433317524
849,1,974263864,973982133
850,5,-1411316854,1729346907
851,3,1055318561,2004944693
852,7,2017269979,1997137585
853,1,23706478,-1343244331
854,5,2012937498,-1148979278
855,10,1951900902,537637677
856,2,-1529806740,1147430788
857,3,-701486740,-100041086
858,6,-1888383646,-1436971492
859,6,-1502528511,1701160199
860,4,-639565451,1921901653
861,4,1228198868,818484109
862,3,158867124,-1285479610
863,7,910898337,-523970884
864,4,1251567703,-1164683206
865,3,595617201,1601731373
866,5,708479875,1274062117
867,9,625906559,-1440929715
868,11,-1679992808,-210435345
869,6,1290874493,-420371298
870,2,332035361,376695414
871,7,-1026826583,145828566
872,7,1774452520,1125945882
873,7,-298627835,1590038530
874,3,-176991840,1999399250
875,3,-828084799,1538033604
876,10,279001498,-516107855
877,7,-1131515335,-1279333314
878,4,-1330898395,-1594390162
879,6,319523587,-477245463
880,10,-1393997824,683817269
881,1,-1694900923,-1414248509
882,6,-1511345630,-2067584135
883,3,260203080,555930632
884,10,265990643,-2147111174
885,9,966180596,-1883835628
886,9,-475065502,215035292
887,4,494181423,380261573
888,1,-547828979,1494749487
889,3,921141039,1645100900
890,5,381908910,857398449
891,7,714249528,1873298008
892,9,-1956475049,-350184047
893,8,1344943089,-632555431
894,6,-1010486652,450048869
895,11,-1957011165,-1049208829
896,6,-519871972,1050635385
897,6,153668927,363536078
898,2,1202402076,72810006
899,2,-1304749831,1590915925
900,3,-1891207101,-712541750
901,5,-1364015064,911652071
902,2,-708744290,1409361903
903,2,-879150956,851608908
904,4,1396682184,462397969
905,3,317744686,-1360047953
906,3,948855974,-474400487
907,10,1462060545,-627710523
908,9,-2089489289,1023472689
909,5,921471477,-1567048740
910,6,237498951,2061602587
911,11,297142125,-68788944
912,6,-1425201665,-214923933
913,4,1019324293,-679876922
914,2,-799706551,560584653
915,3,-1283027833,-509143287
916,3,744193043,-498011856
917,7,-2133459624,-836966033
918,11,-652682309,-1210129544
919,8,491206100,30429040
920,8,-1955594342,-1174443569
921,5,361471399,1188625735
922,7,-361890022,-1536123810
923,9,-2108095325,-263145981
924,8,1336051110,-1331272314
925,6,-1775365246,1575374205
926,11,-761719766,206298677
927,10,1115638125,-61167001
928,11,-36336030,-1339967869
929,2,-2007014581,-549460139
930,9,1577911198,-1704211536
931,11,-1091907116,490069913
932,11,-1547020228,1882582092
933,2,637558164,-968387968
934,7,406361092,114901883
935,10,628525149,463372416
936,6,-1404560542,712304814
937,8,1595347035,793873841
938,3,584051012,-730634808
939,9,1149671941,-1275636046
940,5,998756540,-101166471
941,10,443777726,625717623
942,9,1621508889,2065276954
943,8,-1992311328,-668916303
944,8,1208557535,-1774385943
945,4,-683948990,844417612
946,4,974784646,-294010586
947,6,653467377,497049639
948,11,-1509290802,-526724165
949,8,1765461965,1127078121
950,9,2092069190,-1607276292
951,10,1817014232,-1976088253
952,11,-1609991525,1721961799
953,1,293865852,-1033139824
954,6,-1010289323,1687733903
955,4,-625711326,2004895553
956,3,1604493820,1014099339
957,9,1238457990,-5097699
958,6,-139343553,-258131488
959,3,-1706273530,1344837869
960,8,1308867466,-632144661
961,3,-759156415,1667460620
962,6,-1000569918,928356148
963,2,41744077,-1643836089
964,6,-1885920677,467961196
965,10,-1102005922,-2059567594
966,8,2119503167,-408042939
967,1,-1396297302,1304522019
968,3,-236007061,1802311513
969,11,-649459351,-1926575007
970,9,-118049492,1845909853
971,6,814967820,-111867973
972,8,-834935921,-1801344789
973,7,-1140127165,309325632
974,5,-931384971,-1469817815
975,8,954730106,820349513
976,1,1606021667,256521173
977,3,-1970323948,1120455368
978,9,1358641437,1854750804
979,5,1326314983,-424929757
980,2,-2085797195,-1471758012
981,9,-833273545,1314078942
982,7,2145655781,1164097267
983,2,-1578608255,-932769526
984,6,-1522809787,-260432185
985,1,1586005603,265566638
986,11,651373787,1403059694
987,3,-464830311,326231583
988,1,360147681,193968728
989,2,913961119,1207674018
990,2,-1666636532,373153679
991,10,-1656468682,1127022463
992,8,-1547252695,1274812204
993,9,-2035918322,1339485798
994,11,-480708203,82940299
995,11,1327653760,920924202
996,2,-570856123,-2043258984
997,4,-370589801,-296800427
998,9,-445185883,-760426661
999,5,86227197,-765562752
Iteration,Pancake Values,Syrup Values,PancakeAndSyrup Values
0,93,-1534206827,-1253723912
1,55,2110441665,1658587724
2,66,1653999582,484824064
3,31,-167309003,-819255591
4,66,1866526536,-1615237397
5,186,-1853950981,591911849
6,55,1624108783,-225123333
7,66,118858734,-1245292035
